		学号		姓名	语文	数学	英语	总分
		00001004	姜钰	100	89	79	268
		00001005	魏天霞	89	89	89	267
		00001006	王官君	79	73	89	241
		00001007	郭淑慧	97	67	45	209
		00001008	马海娟	78	65	76	219
		00001009	孙洪山	79	63	70	212
		00001010	胡丹丹	79	89	60	228
		00001011	倪辰曦	72	89	89	250
		00001012	胡书琴	78	75	45	198
		00001013	冷静	78	67	94	239
		00001014	李剑	78	34	68	180
		00001015	范志坚	79	45	80	204
		00001016	任娟娟	87	88	89	264
		00001017	任娟娟	100	15	100	215
		00001018	安瑞娟	89	89	48	226
		00001020	史娟	89	59	80	228
		00001021	王艳红	89	67	56	212
		00001022	姚志奋	78	88	67	233
		00001023	吴巧芬	78	38	78	194
		00001024	陈墨	78	57	29	164
		00001025	张琪	38	89	89	216
		00001026	毛春华	89	46	58	193
		00001027	王丽婧	78	67	56	201
		00001028	曾顺	98	68	59	225
		00001029	晏玉屏	100	100	100	300
		00001019	汤敏树	89	83	78	250
		00001030	杰派	88	88	88	264
		00001003	谢谢	80	100	80	260
		00001001	欢迎	66	66	66	198
